episode_id,imagery_grade,has_flood_imagery,has_baseline_imagery,n_overpasses,n_flood_window,n_during_episode,n_radar_flood,n_clear_optical_flood,platforms,best_overpass_utc,best_platform,best_window_label,best_coverage,best_cloud_pct,best_hours_from_begin,baseline_overpass_utc,baseline_platform,first_overpass_utc,last_overpass_utc
157601_0,cloudy,False,True,4,1,0,0,0,Landsat;Sentinel-2,2021-05-26T17:12:23Z,Sentinel-2,pre,1.0,0.0,-33.16,2021-05-26T17:12:23Z,Sentinel-2,2021-05-26T16:53:32Z,2021-05-28T17:02:33Z
158463_0,cloudy,False,False,2,1,0,0,0,Sentinel-1;Sentinel-2,2021-06-25T17:12:24Z,Sentinel-2,post,1.0,89.7,15.29,,,2021-06-24T23:57:23Z,2021-06-25T17:12:24Z
158466_0,cloudy,False,True,4,2,0,0,0,Landsat;Sentinel-1;Sentinel-2,2021-06-25T17:12:03Z,Sentinel-2,pre,1.0,95.7,-10.8,2021-06-24T23:57:36Z,Sentinel-1,2021-06-24T23:57:36Z,2021-06-27T17:02:06Z
159463_0,cloudy,False,False,1,1,0,0,0,Sentinel-2,2021-06-25T17:12:21Z,Sentinel-2,post,1.0,92.7,14.22,,,2021-06-25T17:12:21Z,2021-06-25T17:12:21Z
159795_0,radar,True,False,3,2,0,1,0,Landsat;Sentinel-1;Sentinel-2,2021-06-30T00:05:58Z,Sentinel-1,post,0.8107,,5.6,,,2021-06-28T15:51:20Z,2021-06-30T17:11:39Z
160825_0,radar,True,True,4,2,0,1,0,Landsat;Sentinel-1;Sentinel-2,2021-07-17T00:13:59Z,Sentinel-1,post,1.0,,46.73,2021-07-13T16:53:32Z,Landsat,2021-07-13T16:53:32Z,2021-07-17T00:13:59Z
161012_0,radar,True,False,4,2,0,1,0,Landsat;Sentinel-1;Sentinel-2,2021-07-12T00:05:32Z,Sentinel-1,post,1.0,,7.59,,,2021-07-10T17:12:24Z,2021-07-13T16:53:44Z
161088_0,cloudy,False,True,5,2,0,0,0,Landsat;Sentinel-1;Sentinel-2,2021-08-27T17:21:43Z,Sentinel-2,pre,1.0,66.9,-9.44,2021-08-28T00:13:41Z,Sentinel-1,2021-08-27T17:21:43Z,2021-08-29T17:11:43Z
161208_0,radar,True,False,3,2,0,1,0,Sentinel-1;Sentinel-2,2021-08-11T23:57:26Z,Sentinel-1,post,1.0,,11.96,,,2021-08-09T17:12:15Z,2021-08-11T23:57:26Z
161640_0,cloudy,False,True,4,1,0,0,0,Landsat;Sentinel-1;Sentinel-2,2021-08-23T16:47:38Z,Landsat,pre,1.0,29.0,-44.07,2021-08-23T16:47:38Z,Landsat,2021-08-23T16:47:38Z,2021-08-26T17:02:12Z
161657_0,radar,True,False,3,2,0,1,0,Sentinel-1;Sentinel-2,2021-08-29T00:06:01Z,Sentinel-1,post,1.0,,11.1,,,2021-08-26T17:01:57Z,2021-08-29T17:11:51Z
162075_0,clear,True,False,2,2,0,0,2,Landsat;Sentinel-2,2021-08-14T16:53:58Z,Landsat,post,1.0,0.0,47.6,,,2021-08-14T16:53:58Z,2021-08-14T17:12:29Z
162145_0,radar,True,False,4,2,0,1,0,Landsat;Sentinel-1;Sentinel-2,2021-08-11T00:05:36Z,Sentinel-1,post,0.9979,,42.84,,,2021-08-07T16:47:09Z,2021-08-11T00:05:36Z
162234_0,clear,True,True,4,2,2,0,1,Landsat;Sentinel-1;Sentinel-2,2021-08-30T16:53:39Z,Landsat,during,1.0,0.4,10.39,2021-08-29T00:06:01Z,Sentinel-1,2021-08-29T00:06:01Z,2021-08-31T15:45:59Z
162520_0,clear,True,False,9,5,4,1,1,Landsat;Sentinel-1;Sentinel-2,2021-08-30T16:53:39Z,Landsat,during,0.87,0.4,60.91,,,2021-08-26T17:01:47Z,2021-09-01T17:21:33Z
162664_0,cloudy,False,True,2,0,0,0,0,Landsat,2021-08-30T16:53:39Z,Landsat,pre,1.0,0.4,-37.11,2021-08-30T16:53:39Z,Landsat,2021-08-30T16:53:39Z,2021-08-31T15:45:59Z
162792_0,radar,True,False,2,1,0,1,0,Sentinel-1;Sentinel-2,2021-08-10T00:14:00Z,Sentinel-1,post,0.9884,,45.3,,,2021-08-07T17:22:19Z,2021-08-10T00:14:00Z
167941_0,cloudy,False,True,3,1,0,0,0,Landsat;Sentinel-2,2022-04-11T16:53:03Z,Landsat,pre,1.0,11.7,-42.37,2022-04-11T16:53:03Z,Landsat,2022-04-11T16:53:03Z,2022-04-14T17:21:52Z
168731_0,radar,True,False,3,2,1,1,0,Sentinel-1;Sentinel-2,2022-05-26T23:57:39Z,Sentinel-1,during,1.0001,,1.71,,,2022-05-26T17:12:07Z,2022-05-28T17:02:18Z
169081_0,cloudy,False,False,2,1,0,0,0,Sentinel-2,2022-04-21T17:12:19Z,Sentinel-2,pre,0.9735,57.6,-20.68,,,2022-04-21T17:12:19Z,2022-04-24T17:22:14Z
169884_0,cloudy,False,True,3,1,0,0,0,Landsat;Sentinel-2,2022-06-23T16:47:29Z,Landsat,pre,1.0,1.4,-40.21,2022-06-23T16:47:29Z,Landsat,2022-06-23T16:47:29Z,2022-06-26T15:24:16Z
170382_0,cloudy,False,False,4,2,1,0,0,Landsat;Sentinel-2,2022-06-05T16:59:52Z,Landsat,pre,1.0,85.7,-8.5,,,2022-06-05T16:59:52Z,2022-06-08T17:22:14Z
170387_0,cloudy,False,True,5,1,1,0,0,Landsat;Sentinel-2,2022-06-13T16:59:13Z,Landsat,pre,1.0,77.4,-42.51,2022-06-14T15:31:01Z,Landsat,2022-06-13T16:59:13Z,2022-06-15T17:12:12Z
170975_0,clear,True,True,2,1,0,0,1,Sentinel-2,2022-06-26T17:31:58Z,Sentinel-2,post,0.671,6.9,33.53,2022-06-23T17:22:00Z,Sentinel-2,2022-06-23T17:22:00Z,2022-06-26T17:31:58Z
171117_0,clear,True,True,5,2,3,0,1,Landsat;Sentinel-2,2022-06-08T17:21:49Z,Sentinel-2,during,1.0,29.5,76.36,2022-06-03T17:21:56Z,Sentinel-2,2022-06-03T17:21:56Z,2022-06-08T17:21:49Z
171799_0,cloudy,False,False,5,2,0,0,0,Landsat;Sentinel-2,2022-06-05T17:12:15Z,Sentinel-2,pre,1.0,99.9,-41.8,,,2022-06-05T16:59:52Z,2022-06-09T15:25:30Z
