episode_id,overpass_utc,platform,sensor_type,collection,n_scenes,aoi_coverage,cloud_pct,hours_from_begin,hours_after_end,during_episode,window_label,scene_ids
157601_0,2021-05-26T16:53:32Z,Landsat,optical,landsat-c2-l2,2,0.0419,0.1,-33.47,-43.11,False,pre,LC08_L2SP_026031_20210526_02_T1;LC08_L2SP_026032_20210526_02_T1
157601_0,2021-05-26T17:12:23Z,Sentinel-2,optical,sentinel-2-l2a,8,1.0,0.0,-33.16,-42.79,False,pre,S2A_15TXF_20210526_1_L2A;S2A_15TXF_20210526_0_L2A;S2A_15TWF_20210526_1_L2A;S2A_15TWF_20210526_0_L2A;S2A_15TXE_20210526_1_L2A;S2A_15TXE_20210526_0_L2A;S2A_15TWE_20210526_1_L2A;S2A_15TWE_20210526_0_L2A
157601_0,2021-05-27T15:54:46Z,Landsat,optical,landsat-c2-l2,1,1.0,100.0,-10.45,-20.09,False,pre,LE07_L2SP_025032_20210527_02_T2
157601_0,2021-05-28T17:02:33Z,Sentinel-2,optical,sentinel-2-l2a,12,1.0,99.7,14.68,5.04,False,post,S2B_15TXF_20210528_1_L2A;S2B_15TXF_20210528_0_L2A;S2B_15TWF_20210528_1_L2A;S2B_15TWF_20210528_0_L2A;S2B_15TXE_20210528_3_L2A;S2B_15TXE_20210528_2_L2A;S2B_15TXE_20210528_1_L2A;S2B_15TXE_20210528_0_L2A;S2B_15TWE_20210528_3_L2A;S2B_15TWE_20210528_2_L2A;S2B_15TWE_20210528_1_L2A;S2B_15TWE_20210528_0_L2A
158463_0,2021-06-24T23:57:23Z,Sentinel-1,radar,sentinel-1-grd,1,0.0269,,-1.96,-6.04,False,pre,S1A_IW_GRDH_1SDV_20210624T235710_20210624T235735_038489_048ABE
158463_0,2021-06-25T17:12:24Z,Sentinel-2,optical,sentinel-2-l2a,8,1.0,89.7,15.29,11.21,False,post,S2A_15TXF_20210625_1_L2A;S2A_15TXF_20210625_0_L2A;S2A_15TWF_20210625_1_L2A;S2A_15TWF_20210625_0_L2A;S2A_15TXE_20210625_1_L2A;S2A_15TXE_20210625_0_L2A;S2A_15TWE_20210625_1_L2A;S2A_15TWE_20210625_0_L2A
158466_0,2021-06-24T23:57:36Z,Sentinel-1,radar,sentinel-1-grd,2,0.9999,,-28.04,-33.04,False,pre,S1A_IW_GRDH_1SDV_20210624T235710_20210624T235735_038489_048ABE;S1A_IW_GRDH_1SDV_20210624T235735_20210624T235802_038489_048ABE
158466_0,2021-06-25T17:12:03Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,95.7,-10.8,-15.8,False,pre,S2A_15TXG_20210625_1_L2A;S2A_15TXG_20210625_0_L2A;S2A_15TWG_20210625_1_L2A;S2A_15TWG_20210625_0_L2A
158466_0,2021-06-27T16:53:19Z,Landsat,optical,landsat-c2-l2,2,0.3005,59.2,36.89,31.89,False,post,LC08_L2SP_026030_20210627_02_T1;LC08_L2SP_026031_20210627_02_T1
158466_0,2021-06-27T17:02:06Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,83.6,37.04,32.04,False,post,S2B_15TXG_20210627_1_L2A;S2B_15TXG_20210627_0_L2A;S2B_15TWG_20210627_1_L2A;S2B_15TWG_20210627_0_L2A
159463_0,2021-06-25T17:12:21Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,92.7,14.22,9.96,False,post,S2A_15TWF_20210625_1_L2A;S2A_15TWF_20210625_0_L2A;S2A_15TVF_20210625_1_L2A;S2A_15TVF_20210625_0_L2A
159795_0,2021-06-28T15:51:20Z,Landsat,optical,landsat-c2-l2,1,1.0,94.0,-26.64,-29.64,False,pre,LE07_L2SP_025030_20210628_02_T1
159795_0,2021-06-30T00:05:58Z,Sentinel-1,radar,sentinel-1-grd,1,0.8107,,5.6,2.6,False,post,S1A_IW_GRDH_1SDV_20210630T000544_20210630T000612_038562_048CE8
