,ifis_id
ADEL,2
DECORAH,585
ELKADER,588
MANCHESTER,590
MAQUOKETA,591
INDEPENDENCE,592
IOWA CITY,598
HILLS,600
CHARLES CITY,601
WAVERLY,602
MASON CITY,605
CLARKSVILLE,606
NEW HARTFORD,607
CEDAR FALLS,608
WATERLOO,609
VINTON,610
PALO,611
CEDAR RAPIDS,612
OAKVILLE,615
AMES,618
ESTHERVILLE,623
HUMBOLDT,625
FORT DODGE,628
DES MOINES,639
OTTUMWA,645
ROCK RAPIDS,648
ROCK VALLEY,649
RED OAK,666
BELLEVUE,676
COLUMBUS JUNCTION,679
CAMANCHE,680
DUBUQUE,683
KEOKUK,685
FULTON,686
GLADSTONE,689
ILLINOIS CITY,693
LECLAIRE,696
