Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,1,3062,HS0007,6007,41.172071,-93.386039,HS0007 IFC-Hydrostation,Lacona,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00,0,1563257.96,6326.29,IA,7100008,Lake Red Rock,6.189665429
1,2,3050,HS0033,6033,41.841882,-93.621563,HS0033 IFC-Hydrostation,Alleman,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00,0,1563257.96,6326.29,IA,7100008,Lake Red Rock,6.189665429
1,3,3040,HS0027,6027,41.014999,-91.158035,HS0027 IFC-Hydrostation,Mediapolis,t,{83925D5C-3127-4C58-BFB6-A623B748AAE9}, , , , ,6/11/2012 0:00,0,1546231.99,6257.38,"IA,IL,MO",7080104,Flint-Henderson,6.48831613
1,4,3026,WILSONFRM01,5104,41.65148,-94.42888,WILSONFRM01 IFC-Hydrostation,Guthrie Center,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00,0,727597.22,2944.48,IA,7100007,South Raccoon,3.920604147
1,5,3038,HS0015,6015,40.856827,-91.954384,HS0015 IFC-Hydrostation,Birmingham,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00,0,1370685.19,5546.97,"IA,MO",7100009,Lower Des Moines,5.896311936
1,6,3047,HS0024,6024,42.192558,-92.088181,HS0024 IFC-Hydrostation,Vinton,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00,0,1546778.49,6259.6,IA,7080205,Middle Cedar,5.820869754
1,7,3023,POORFRM01,5100,41.656017,-91.60498,POORFRM01 IFC-Hydrostation,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,8,3060,HS0006,6006,41.155407,-91.486237,HS0006 IFC-Hydrostation,Winfield,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00,0,1045531.64,4231.12,IA,7080107,Skunk,5.038709947
1,9,3059,HS0028,6028,43.446163,-93.209702,HS0028 IFC-Hydrostation,Northwood,t,{D911D322-0667-4C87-9505-EC11E48345D3}, , , , ,6/11/2012 0:00,0,691348.09,2797.79,"IA,MN",7080202,Shell Rock,5.470607784
1,10,3042,HS0031,6031,41.263161,-91.152237,HS0031 IFC-Hydrostation,Grandview,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00,0,634693.16,2568.51,"IA,IL",7080101,Copperas-Duck,5.584625166
1,11,3044,HS0011,6011,42.209293,-93.275505,HS0011 IFC-Hydrostation,Zearing,t,{ECE669E9-D814-4A42-9574-B61B0BEEF0E1}, , , , ,6/11/2012 0:00,0,931827.1,3770.97,IA,7080207,Upper Iowa,5.68815199
