Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,county_fips,county_name
0,1,11890,MPLECR01,41.575119,-96.790161,Maple Creek at North Bend (MPLECR01),Maple Creek,North Bend,t,,,,,,,,,,,,,,31053,Dodge County
1,2,722,ENDWY01,40.727396,-94.979789,East Nodoway River at Hwy 2 at Clarinda (ENDWY01),East Nodaway River,Clarinda,t,{8DA1A254-3909-4A8F-8659-399066C5B692}, , , , ,6/11/2012 0:00:00,0.0,639551.5,2588.18,"IA,MO",10240010.0,Nodaway,4.96633042891,19145,Page County
1,3,717,CLRCRK02,41.714222,-91.77911,Clear Creek at Chambers Ave NW at Oxford (CLRCRK02),Clear Creek,Oxford,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,19103,Johnson County
0,4,1979,POUDRERV01,40.629707,-105.168633,Cache la Poudre River at Bellvue (POUDRERV01),Cache la Poudre River,Bellvue,t,,,,,,,,,,,,,,08069,Larimer County
1,5,1676,SOAPCR03,40.888095,-92.680712,Soap Creek at 313th Ave at Unionville (SOAPCR03),Soap Creek,Unionville,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0.0,1370685.19,5546.97,"IA,MO",7100009.0,Lower Des Moines,5.89631193612,19007,Appanoose County
0,6,1669,SKKMCHCK01,46.7722,-122.9236,Skookumchuck River at Centralia (SKKMCHCK01),Skookunchuck River,Centralia,f,,,,,,,,,,,,,,53067,Thurston County
1,7,11893,TROUTCRK01,43.273853,-91.784668,Trout Creek at Decorah (TROUTCRK01),Trout Creek,Decorah,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0.0,639677.18,2588.68,"IA,MN",7060002.0,Upper Iowa,4.03046094434,19191,Winneshiek County
1,8,1917,WATERMAN01,42.967774,-95.425321,Waterman Creek at Sutherland (WATERMAN01),Waterman Creek,Sutherland,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0.0,1812413.43,7334.58,"IA,MN",10230003.0,Little Sioux,8.94025563372,19141,O'Brien County
0,9,11892,SFELKHRN01,42.251301,-98.338531,South Fork Elkhorn River at Ewing (SFELKHRN01),South Fork Elkhorn River,Ewing,t,,,,,,,,,,,,,,31089,Holt County
1,10,1827,DSMNSRV03,42.12155,-93.967917,Des Moines River at Kale RD (DSMNSRV03),Des Moines River,Fraser,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0.0,1104287.57,4468.9,IA,7100004.0,Middle Des Moines,7.05359467269,19015,Boone County
1,11,11894,TROUTCRK02,43.252418,-91.807968,Trout Creek at Decorah (TROUTCRK02),Trout Creek,Decorah,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0.0,639677.18,2588.68,"IA,MN",7060002.0,Upper Iowa,4.03046094434,19191,Winneshiek County
1,12,11856,WILLOWCR01,42.862312,-96.055969,Willow Creek at Oyens (WILLOWCR01),Willow Creek,Oyens,t,{0E741BD6-D424-4C09-B0FD-E17D9C27E19D}, , , , ,10/6/2016 0:00:00,0.0,586327.51,2372.79,IA,10230002.0,Floyd,3.75376918356,19149,Plymouth County
1,13,11861,BUFFALO01,42.195779,-91.423147,Buffalo Creek at Prairieburg (BUFFALO01),Buffalo Creek,Prairieburg,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0.0,1003377.82,4060.53,"IA,MN",7080102.0,Upper Wapsipinicon,5.6383031509,19113,Linn County
1,14,1884,SPRNGCRK01,43.284179,-92.769861,Spring Creek at Osage (SPRNGCRK01),Spring Creek,Osage,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0.0,1078114.47,4362.98,"IA,MN",7080201.0,Upper Cedar,5.43039032996,19131,Mitchell County
1,15,11849,MUDCR03,42.079514,-92.113815,Mud Creek at Garrison (MUDCR03),Mud Creek,Garrison,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,19011,Benton County
1,16,1915,CEDARCRK01,41.009739,-92.118781,Cedar Creek at Batavia (CEDARCRK01),Cedar Creek,Batavia,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00:00,0.0,1045531.64,4231.12,IA,7080107.0,Skunk,5.03870994718,19101,Jefferson County
1,17,1880,COONCR01,42.191457,-92.455621,Coon Creek at Traer(COONCR01),Coon Creek,Traer,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,19171,Tama County
1,18,1756,YELLOWRV01,43.139539,-91.587033,Yellow River at Postville (YELLOWRV01),Yellow River,Postville,t,{66B6FBB4-281D-44B8-AEEC-70EBBC503DA2}, , , , ,2/1/2017 0:00:00,0.0,911495.16,3688.69,"IA,MN,WI",7060001.0,Coon-Yellow,4.44162244149,19005,Allamakee County
1,19,1004,DEERCR01,41.6807,-91.6373,Deer Creek at Kansas Ave SW at Iowa City (DEERCR01),Deer Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,19103,Johnson County
1,20,1812,MQKTARV01,42.260186,-91.192876,Maquoketa River at HWY38 (MQKTARV01),Maquoketa River,Monticello,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,19105,Jones County
1,21,11871,SKNKRV01,40.936109,-91.618752,Skunk River at Mt. Pleasant (SKNKRV01),Skunk River,Mt. Pleasant,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00:00,0.0,1045531.64,4231.12,IA,7080107.0,Skunk,5.03870994718,19087,Henry County
1,22,1869,NORTHRV01,41.50804,-93.484974,North River at Carlisle (NORTHRV01),North River,Carlisle,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0.0,1563257.96,6326.29,IA,7100008.0,Lake Red Rock,6.18966542928,19181,Warren County
1,23,11852,IOWARV03,42.516972,-93.307808,Iowa RIver at Iowa Falls (IOWARV03),Iowa RIver,Iowa Falls,t,{ECE669E9-D814-4A42-9574-B61B0BEEF0E1}, , , , ,6/11/2012 0:00:00,0.0,931827.1,3770.97,IA,7080207.0,Upper Iowa,5.68815199018,19083,Hardin County
1,24,1757,CEDARRV04,42.84742,-92.52211,Cedar River at Plainfield (CEDARRV04),Cedar River,Plainfield,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0.0,1078114.47,4362.98,"IA,MN",7080201.0,Upper Cedar,5.43039032996,19017,Bremer County
1,25,1025,SENGLSH01,41.4938,-91.94390000000001,South English River at 120th St near Kinross (SENGLSH01),South English River,Kinross,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,19183,Washington County
1,26,1021,PRICECR01,41.8051,-91.873,Price Creek at 42nd Ave at Amana Colonies (PRICECR01),Price Creek,Amana Colonies,f,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0.0,1060665.78,4292.37,IA,7080208.0,Middle Iowa,5.65546570065,19095,Iowa County
1,27,1829,NRCCNRV03,41.853271,-94.220369,North Raccoon River at  P46 (D AVE) (NRCCNRV03),North Raccoon River,Dawson,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0.0,1581359.74,6399.54,IA,7100006.0,North Raccoon,7.63352986486,19049,Dallas County
1,28,11860,LTTLEWAPSI01,42.576321,-92.034271,Little Wapsipinicon River at Littleton (LTTLEWAPSI01),Little Wapsipinicon River,Littleton,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0.0,1003377.82,4060.53,"IA,MN",7080102.0,Upper Wapsipinicon,5.6383031509,19019,Buchanan County
1,29,250902,UIWARV03,43.441306,-92.035944,Upper Iowa River near Kendallville,Upper Iowa River,Kendallville,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0.0,639677.18,2588.68,"IA,MN",7060002.0,Upper Iowa,4.03046094434,19191,Winneshiek County
1,30,11864,BEARCR01,42.053177,-90.995806,Bear Creek at Wyoming (BEARCR01),Bear Creek,Wyoming,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,19105,Jones County
1,31,1950,BEAR01,42.484337,-91.140491,Bear Creek at Dyersville (BEAR01),Bear Creek,Dyersville,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,19055,Delaware County
1,32,745,SLVRCR01,41.11745,-95.630947,Silver Creek at Dobney Ave at Silver City (SLVRCR01),Silver Creek,Silver City,t,{0ADD5A65-48D5-4C2D-9478-CC5524DCBC96}, , , , ,6/11/2012 0:00:00,0.0,1056982.61,4277.46,IA,10240002.0,West Nishnabotna,4.7622280514,19129,Mills County
1,33,1885,VLGARV03,42.847289,-91.947762,Volga River at Sumner (VLGARV03),Volga River,Sumner,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19065,Fayette County
1,34,719,CLRCRKS01,41.701175,-91.857469,Clear Creek Tributary at 210th St at Homestead (CLRCRKS01),Clear Creek Tributary,Homestead,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,19095,Iowa County
1,35,1036,WLNTCR02,41.6128,-93.7927,Walnut Creek at 128th St NW at Clive (WLNTCR02),Walnut Creek,Clive,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0.0,1581359.74,6399.54,IA,7100006.0,North Raccoon,7.63352986486,19153,Polk County
1,36,11867,CEDARRV05,43.283493,-92.85226,Cedar RIver at Osage (CEDARRV05),Cedar River,Osage,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0.0,1078114.47,4362.98,"IA,MN",7080201.0,Upper Cedar,5.43039032996,19131,Mitchell County
1,37,1811,WAPSI05,42.203647,-91.527265,Wapsipinicon River at County E16/Main Street (WAPSI05),Wapsipinicon River,Central City,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0.0,1003377.82,4060.53,"IA,MN",7080102.0,Upper Wapsipinicon,5.6383031509,19113,Linn County
0,38,11888,ELKHRNRV02,42.594074,-99.207901,Elkhorn River at Stuart (ELKHRNRV02),Elkhorn River,Stuart,f,,,,,,,,,,,,,,31089,Holt County
1,39,1002,CRANECR01,43.0015,-91.9691,Crane Creek at Spruce Rd at Hawkeye (CRANECR01),Crane Creek,Hawkeye,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19065,Fayette County
1,40,1948,MQKTARV03,42.440655,-91.407078,Maquoketa River at Delhi (MQKTARV03),Maquoketa River,Delhi,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,19055,Delaware County
1,41,729,INDCR04,42.093797,-91.560844,Indian Creek at County Home Rd at Marion (INDCR04),Indian Creek,Marion,t,{65F2CD30-B70F-474A-8E7D-FFABDB288751}, , , , ,6/11/2012 0:00:00,0.0,703253.72,2845.97,IA,7080206.0,Lower Cedar,4.56838127734,19113,Linn County
1,42,1022,RAVENCR01,41.9646,-92.6702,Raven Creek at County E49 at Tama (RAVENCR01),Raven Creek,Tama,t,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0.0,1060665.78,4292.37,IA,7080208.0,Middle Iowa,5.65546570065,19171,Tama County
1,43,1760,LTLSIOUX02,43.136752,-95.144196,Little Sioux River at Spencer (LTLSIOUX02),Little Sioux River,Spencer,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0.0,1812413.43,7334.58,"IA,MN",10230003.0,Little Sioux,8.94025563372,19041,Clay County
1,44,1023,RBRTSCR01,42.8741,-91.3827,Roberts Creek at Hwy 13 at Elkader (RBRTSCR01),Roberts Creek,Elkader,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19043,Clayton County
1,45,750,TKYRV06,43.327275,-92.080278,Turkey River at 345th St at Cresco (TKYRV06),Turkey River,Cresco,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19191,Winneshiek County
1,46,1778,OTTRCRK04,42.947141,-91.794949,Otter Creek at West Union (OTTRCRK04),Otter Creek,West Union,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19065,Fayette County
1,47,11875,TKYRV05,43.241817,-91.990707,Turkey River at Spillville (TKYRV05),Turkey River,Spillville,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19191,Winneshiek County
1,48,744,SHLRK07,43.284205,-93.123806,Shell Rock River at Hwy 9 at Plymouth (SHLRK07),Shell Rock River,Plymouth,t,{D911D322-0667-4C87-9505-EC11E48345D3}, , , , ,6/11/2012 0:00:00,0.0,691348.09,2797.79,"IA,MN",7080202.0,Shell Rock,5.47060778398,19195,Worth County
1,49,1842,BOYERRV02,41.810751,-95.640281,Boyer River at HWY30/Lincoln Highway (BOYERRV02),Boyer River,Dunlap,t,{FA3F5B0F-E548-4B41-9276-B1409BDFBB0C}, , , , ,6/11/2012 0:00:00,0.0,761568.23,3081.96,IA,10230007.0,Boyer,5.11919109484,19085,Harrison County
1,50,1839,GENEVACR01,41.449146,-91.055379,Geneva Creek at Bidwell RD (GENEVACR01),Geneva Creek,Muscatine,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0.0,634693.16,2568.51,"IA,IL",7080101.0,Copperas-Duck,5.58462516616,19139,Muscatine County
1,51,1907,HNYCRK01,42.5275,-91.4425,Honey Creek at Manchester(HNYCRK01),Honey Creek,Manchester,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,19055,Delaware County
1,52,1984,OTTRCREEK01,42.510357,-91.948975,Otter Creek at Otterville (OTTRCREEK01),Otter Creek,Otterville,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0.0,1003377.82,4060.53,"IA,MN",7080102.0,Upper Wapsipinicon,5.6383031509,19019,Buchanan County
1,53,723,ENISH03,40.915696,-95.275368,East Nishnabotna River at 270th St at Coburg (ENISH03),East Nishnabotna River,Coburg,t,{32B6905C-C90F-485E-92C6-683554366E45}, , , , ,6/11/2012 0:00:00,0.0,735184.8399999999,2975.19,IA,10240003.0,East Nishnabotna,4.90990594587,19137,Montgomery County
1,54,11898,WELSHLAKE01,43.430665,-95.172421,Welsh Lake at Triboji Beach (WELSHLAKE01),Welsh Lake,Triboji Beach,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0.0,1812413.43,7334.58,"IA,MN",10230003.0,Little Sioux,8.94025563372,19059,Dickinson County
1,55,1024,SBVRCRK01,42.4125,-93.26110000000001,South Beaver Creek at US HWY 65 at Owasa (SBVRCRK01),South Beaver Creek,Owasa,t,{ECE669E9-D814-4A42-9574-B61B0BEEF0E1}, , , , ,6/11/2012 0:00:00,0.0,931827.1,3770.97,IA,7080207.0,Upper Iowa,5.68815199018,19083,Hardin County
0,56,11887,NFELKHRN02,42.351063,-97.617943,North Fork Elkhorn River at Osmond (NFELKHRN02),North Fork Elkhorn River,Osmond,t,,,,,,,,,,,,,,31139,Pierce County
1,57,11851,UIWARV01,43.305006,-91.744897,Upper Iowa River at Freeport (UIWARV01),Upper Iowa River,Freeport,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0.0,639677.18,2588.68,"IA,MN",7060002.0,Upper Iowa,4.03046094434,19191,Winneshiek County
1,58,716,CHSLSCR01,43.133826,-93.226035,Cheslea Creek at 19th St SW at Mason City (CHSLSCR01),Cheslea Creek,Mason City,t,{7E36A47E-08C4-4336-831F-7153E955FBD0}, , , , ,6/11/2012 0:00:00,0.0,440576.64,1782.95,"IA,MN",7080203.0,Winnebago,3.63671953886,19033,Cerro Gordo County
1,59,1653,SQWCR04,42.180817,-93.757788,Ioway Creek at 120th St at Story City (SQWCR04),Ioway Creek,Story City,t,{A3289F99-CD86-4AF6-A77E-5442630D5AFD}, , , , ,6/11/2012 0:00:00,0.0,1179865.93,4774.75,IA,7080105.0,South Skunk,6.74624294085,19015,Boone County
1,60,999,BFFLOCR02,41.7232,-91.6666,Buffalo Creek at James Ave NW at Tiffin (BFFLOCR02),Buffalo Creek,Tiffin,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,19103,Johnson County
1,61,1883,DRNGDTCH01,42.577661,-92.847178,Drainage Ditch at Aplington (DRNGDTCH01),Drainage Ditch,Aplington,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,19023,Butler County
1,62,1814,ROGERSCR01,43.141718,-91.932728,Rogers Creek at HWY24 (ROGERSCR01),Rogers Creek,Fort Atkinson,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19191,Winneshiek County
1,63,1989,SHLRK03,42.900684,-92.812714,Shell Rock at Greene (SHLRK03),Shell Rock,Greene,t,{D911D322-0667-4C87-9505-EC11E48345D3}, , , , ,6/11/2012 0:00:00,0.0,691348.09,2797.79,"IA,MN",7080202.0,Shell Rock,5.47060778398,19023,Butler County
0,64,11891,NFELKHRN01,42.01833,-97.387627,North Fork Elkhorn River at Norfolk (NFELKHRN01),North Fork Elkhorn River,Norfolk,t,,,,,,,,,,,,,,31119,Madison County
1,65,1001,CLRCRKW01,41.7166,-91.8907,Clear Creek at V Ave at Homestead (CLRCRKW01),Clear Creek,Homestead,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,19095,Iowa County
1,66,1014,MRGNCR01,41.9954,-91.7561,Morgan Creek at Covington Rd at Cedar Rapids (MRGNCR01),Morgan Creek,Cedar Rapids,f,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,19113,Linn County
1,67,1026,SFIOWA01,42.4362,-93.3471,South Fork Iowa River at H Ave at Buckeye (SFIOWA01),South Fork Iowa River,Buckeye,f,{ECE669E9-D814-4A42-9574-B61B0BEEF0E1}, , , , ,6/11/2012 0:00:00,0.0,931827.1,3770.97,IA,7080207.0,Upper Iowa,5.68815199018,19083,Hardin County
