Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,1,1687,05459490,43.213332999999999,-93.210555999999997,Spring Creek near Mason City (05459490),Spring Creek,Mason City,t,{7E36A47E-08C4-4336-831F-7153E955FBD0}, , , , ,6/11/2012 0:00:00,0,440576.640000000013970,1782.950000000000045,"IA,MN",07080203,Winnebago,3.636719538860000
1,2,12848,BBSS2,43.594600000000000,-96.599800000000002,Big Sioux River near Brandon (BBSS2),Big Sioux River,,t,{79EA5FED-F1D1-42CD-AF83-6BAC73F4555C}, , , , ,6/11/2012 0:00:00,0,2188003.060000000055879,8854.540000000000873,"IA,MN,NE,SD",10170203,Lower Big Sioux,8.636240086460001
1,3,681,DBQI4,42.499443999999997,-90.653056000000007,Mississippi River at Dubuque (DBQI4),Mississippi,Dubuque,t,{D09DB136-C0FD-4F58-8B45-0382680A89B4}, , , , ,6/11/2012 0:00:00,0,951301.750000000000000,3849.789999999999964,"IA,IL,WI",07060005,Apple-Plum,4.724932310700000
1,4,1957,05453200,41.805000000000000,-91.873199999999997,Price Creek at Amana (05453200),Price Creek,Amana,t,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0,1060665.780000000027940,4292.369999999999891,IA,07080208,Middle Iowa,5.655465700650000
1,5,648,06483290,43.422972000000001,-96.164886999999993,Rock River below Tom Creek at Rock Rapids (RAPI4-06483290),Rock River below Tom Creek,Rock Rapids,t,{2B797D37-69F7-4E74-8D60-A55ED945FA58}, , , , ,10/6/2016 0:00:00,0,1074463.810000000055879,4348.199999999999818,"IA,MN",10170204,Rock,4.718775704290000
1,6,523,05411600,43.207278000000002,-91.950333000000001,Turkey River at Spillville (05411600),Turkey River,Spillville,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0,1084109.939999999944121,4387.239999999999782,IA,07060004,Turkey,4.593632289660000
1,7,569,05485605,41.717376999999999,-93.570132999999998,Fourmile Creek near Ankeny (05485605),Fourmile Creek,Ankeny,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0,1563257.959999999962747,6326.289999999999964,IA,07100008,Lake Red Rock,6.189665429280000
1,8,603,05458500,42.648316000000001,-92.465186000000003,Cedar River at Janesville (JANI4-05458500),Cedar River,Janesville,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0,1078114.469999999972060,4362.979999999999563,"IA,MN",07080201,Upper Cedar,5.430390329960000
0,9,1931,06479500,44.942464000000001,-97.146186000000000,Big Sioux River at Watertown (06479500),Big Sioux River SE,Watertown,t,,,,,,,,,,,,,
1,10,536,05451900,41.899439000000001,-92.474355000000003,Richland Creek near Haven (05451900),Richland Creek,Haven,t,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0,1060665.780000000027940,4292.369999999999891,IA,07080208,Middle Iowa,5.655465700650000
1,11,638,05484900,41.581656000000002,-93.642995999999997,Raccoon River at Fleur Drive at Des Moines (DEMI4-05484900),Raccoon River,Des Moines,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0,1581359.739999999990687,6399.539999999999964,IA,07100006,North Raccoon,7.633529864860000
1,12,590,05416900,42.469988000000001,-91.448715000000007,Maquoketa River at Manchester (MCHI4-05416900),Maquoketa River,Manchester,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0,1196986.080000000074506,4844.039999999999964,IA,07060006,Maquoketa,5.431519367430000
1,13,626,05478265,43.082278000000002,-94.230861000000004,East Fork Des Moines River near Algona (AGNI4-05478265),East Fork Des Moines River,Algona,t,{63F1F400-191B-46E4-A94D-466816F8926C}, , , , ,12/22/2016 0:00:00,0,836600.369999999995343,3385.599999999999909,"IA,MN",07100003,East Fork Des Moines,6.330500795260000
1,14,1611,05469860,42.314444000000002,-93.639722000000006,Mud Lake Drainage Ditch 71 at Jewell (05469860),Mud Lake Drainage Ditch 71,Jewell,t,{A3289F99-CD86-4AF6-A77E-5442630D5AFD}, , , , ,6/11/2012 0:00:00,0,1179865.929999999934807,4774.750000000000000,IA,07080105,South Skunk,6.746242940850000
1,15,540,05453520,41.715293000000003,-91.530169999999998,Iowa River below Coralville Dam near Coralville (05453520),Iowa River,Coralville,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,16,669,06819185,40.660542999999997,-94.716635999999994,East Fork 102 River at Bedford (BDFI4-06819185),East Fork 102 River,Bedford,t,{CDA1C91A-23C6-4E1C-875F-0BE9DB863599}, , , , ,6/11/2012 0:00:00,0,497044.630000000004657,2011.470000000000027,"IA,MO",10240013,One Hundred and Two,3.932186682330000
1,17,557,05473450,41.006973000000002,-91.551550000000006,Big Creek near Mount Pleasant (05473450),Big Creek,Mount Pleasant,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00:00,0,1045531.640000000013970,4231.119999999999891,IA,07080107,Skunk,5.038709947180000
1,18,1686,05455230,41.591388999999999,-92.355000000000004,Deep River at Deep River (05455230),Deep River,Deep River,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,19,610,05464315,42.170828000000000,-92.023792000000000,Cedar River at Vinton (VINI4-05464315),Cedar River,Vinton,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0,1546778.489999999990687,6259.600000000000364,IA,07080205,Middle Cedar,5.820869754050000
0,20,1930,06479452,44.948853000000000,-97.160908000000006,Big Sioux River at Lake Kampeska near Watertown (06479452),Big Sioux River S,Watertown,t,,,,,,,,,,,,,
1,21,668,06817000,40.743277999999997,-95.014194000000003,Nodaway River at Clarinda (ICLI4-06817000),Nodaway River,Clarinda,t,{FA50E6A8-6A6D-40A9-BCD3-8C237F688B6F}, , , , ,6/11/2012 0:00:00,0,508815.369999999995343,2059.099999999999909,IA,10240009,West Nodaway,3.205641455230000
0,22,1932,06479525,44.731547999999997,-97.044651999999999,Big Sioux River near Castlewood (06479525),Big Sioux River,Castlewood,t,,,,,,,,,,,,,
1,23,639,05485500,41.577767000000001,-93.605495000000005,Des Moines River blw Raccoon R. at Des Moines (DESI4-05485500),Des Moines River blw Raccoon R.,Des Moines,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0,1563257.959999999962747,6326.289999999999964,IA,07100008,Lake Red Rock,6.189665429280000
0,24,700,MKLN1,42.715555999999999,-96.949167000000003,Missouri River near Maskell (MKLN1),Missouri,Maskell,t,,,,,,,,,,,,,
1,25,562,05480820,42.724417000000003,-93.946693999999994,Boone River near Goldfield (05480820),Boone River,Goldfield,t,{F9346510-2B8F-40F7-810D-6F1E7A48ADB6}, , , , ,6/11/2012 0:00:00,0,581403.229999999981374,2352.860000000000127,IA,07100005,Boone,3.297919740750000
1,26,546,05455100,41.606405000000002,-91.615724000000000,Old Mans Creek near Iowa City (05455100),Old Mans Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,27,646,05490500,40.727806000000001,-91.959616999999994,Des Moines River at Keosauqua (KEQI4-05490500),Des Moines River,Keosauqua,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0,1370685.189999999944121,5546.970000000000255,"IA,MO",07100009,Lower Des Moines,5.896311936120000
1,28,552,05464220,42.251657999999999,-92.298798000000005,Wolf Creek near Dysart (05464220),Wolf Creek,Dysart,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0,1546778.489999999990687,6259.600000000000364,IA,07080205,Middle Cedar,5.820869754050000
1,29,628,05480500,42.508302999999998,-94.203573000000006,Des Moines River at Fort Dodge (FODI4-05480500),Des Moines River,Fort Dodge,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0,1104287.570000000065193,4468.899999999999636,IA,07100004,Middle Des Moines,7.053594672690000
