Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,usgs_site_no_revised
1,1,1687,05459490,masi4,43.213333,-93.210556,Spring Creek near Mason City (05459490),Spring Creek,Mason City,t,{7E36A47E-08C4-4336-831F-7153E955FBD0}, , , , ,6/11/2012 0:00:00,0.0,440576.64,1782.95,"IA,MN",7080203.0,Winnebago,3.63671953886,5459490
1,2,12848,BBSS2,bbss2,43.5946,-96.5998,Big Sioux River near Brandon (BBSS2),Big Sioux River,,t,{79EA5FED-F1D1-42CD-AF83-6BAC73F4555C}, , , , ,6/11/2012 0:00:00,0.0,2188003.06,8854.54,"IA,MN,NE,SD",10170203.0,Lower Big Sioux,8.63624008646,6482610
1,3,681,DBQI4,dbqi4,42.499444,-90.653056,Mississippi River at Dubuque (DBQI4),Mississippi,Dubuque,t,{D09DB136-C0FD-4F58-8B45-0382680A89B4}, , , , ,6/11/2012 0:00:00,0.0,951301.75,3849.79,"IA,IL,WI",7060005.0,Apple-Plum,4.7249323107,5415000
1,4,1957,05453200,amai4,41.805,-91.8732,Price Creek at Amana (05453200),Price Creek,Amana,t,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0.0,1060665.78,4292.37,IA,7080208.0,Middle Iowa,5.65546570065,5453200
1,5,648,06483290,rapi4,43.422972,-96.164887,Rock River below Tom Creek at Rock Rapids (RAPI4-06483290),Rock River below Tom Creek,Rock Rapids,t,{2B797D37-69F7-4E74-8D60-A55ED945FA58}, , , , ,10/6/2016 0:00:00,0.0,1074463.81,4348.2,"IA,MN",10170204.0,Rock,4.71877570429,6483290
1,6,523,05411600,spli4,43.207278,-91.950333,Turkey River at Spillville (05411600),Turkey River,Spillville,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,5411600
1,7,569,05485605,anki4,41.717377,-93.570133,Fourmile Creek near Ankeny (05485605),Fourmile Creek,Ankeny,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0.0,1563257.96,6326.29,IA,7100008.0,Lake Red Rock,6.18966542928,5485605
1,8,603,05458500,jani4,42.648316,-92.465186,Cedar River at Janesville (JANI4-05458500),Cedar River,Janesville,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0.0,1078114.47,4362.98,"IA,MN",7080201.0,Upper Cedar,5.43039032996,5458500
0,9,1931,06479500,wbss2,44.942464,-97.146186,Big Sioux River at Watertown (06479500),Big Sioux River SE,Watertown,t,,,,,,,,,,,,,,6479500
1,10,536,05451900,havi4,41.899439,-92.474355,Richland Creek near Haven (05451900),Richland Creek,Haven,t,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0.0,1060665.78,4292.37,IA,7080208.0,Middle Iowa,5.65546570065,5451900
