#id,foreign_id,lat,lng,description,town,active,foreign_id1
3062,HS0007,41.172071,-93.386039,HS0007 IFC-Hydrostation,Lacona,t,6007
3050,HS0033,41.841882,-93.621563,HS0033 IFC-Hydrostation,Alleman,t,6033
3040,HS0027,41.014999,-91.158035,HS0027 IFC-Hydrostation,Mediapolis,t,6027
3026,WILSONFRM01,41.65148,-94.42888,WILSONFRM01 IFC-Hydrostation,Guthrie Center,t,5104
3038,HS0015,40.856827,-91.954384,HS0015 IFC-Hydrostation,Birmingham,t,6015
3047,HS0024,42.192558,-92.088181,HS0024 IFC-Hydrostation,Vinton,t,6024
3023,POORFRM01,41.656017,-91.60498,POORFRM01 IFC-Hydrostation,Iowa City,t,5100
3060,HS0006,41.155407,-91.486237,HS0006 IFC-Hydrostation,Winfield,t,6006
3059,HS0028,43.446163,-93.209702,HS0028 IFC-Hydrostation,Northwood,t,6028
3042,HS0031,41.263161,-91.152237,HS0031 IFC-Hydrostation,Grandview,t,6031
3044,HS0011,42.209293,-93.275505,HS0011 IFC-Hydrostation,Zearing,t,6011
3014,NSHNBTNA02,41.0601,-95.4195,NSHNBTNA02 IFC-Hydrostation,Emerson,t,5098
3056,HS0021,43.045551,-92.66745,HS0021 IFC-Hydrostation,Charles City,t,6021
3053,HS0000,40.570091,-122.181091,HS0000 IFC-Hydrostation,Millville,t,6000
3055,HS0014,42.751629,-92.787323,HS0014 IFC-Hydrostation,Allison,t,6014
3027,WILSONFRM02,41.63303,-94.435661,WILSONFRM02 IFC-Hydrostation,Guthrie Center,t,5103
3052,HS0029,42.151176,-91.314095,HS0029 IFC-Hydrostation,Anamosa,t,6029
3024,CROPCNTRL01,42.950199,-91.828903,CROPCNTRL01 IFC-Hydrostation ,West Union,t,5101
3061,HS0023,43.145021,-93.283111,HS0023 IFC-Hydrostation,Mason City,t,6023
3016,NSHNBTNA04,41.6374,-95.286,NSHNBTNA04 IFC-Hydrostation,Harlan,t,5088
3043,HS0032,41.807655,-90.644806,HS0032 IFC-Hydrostation,Grand Mound,t,6032
3034,HS0008,41.465139,-93.021241,HS0008 IFC-Hydrostation,Otley,t,6008
3032,HS0003,41.599121,-90.893548,HS0003 IFC-Hydrostation,Durant,t,6003
3054,HS0010,43.392544,-92.297653,HS0010 IFC-Hydrostation,Lime Springs,t,6010
3031,HS0004,41.805709,-91.288833,HS0004 IFC-Hydrostation,Tipton,t,6004
3041,HS0030,41.422279,-91.082764,HS0030 IFC-Hydrostation,Muscatine,t,6030
3049,HS0020,42.403919,-90.700981,HS0020 IFC-Hydrostation,Dubuque,t,6020
3030,HS0005,41.98912,-91.770134,HS0005 IFC-Hydrostation,Palo,t,6005
3051,HS0026,42.48444,-91.497398,HS0026 IFC-Hydrostation,Manchester,t,6026
3033,HS0002,41.288588,-91.571753,HS0002 IFC-Hydrostation,Ainsworth,t,6002
3036,HS0019,42.801763,-91.323713,HS0019 IFC-Hydrostation,Communia,t,6019
3046,HS0016,42.349709,-92.494781,HS0016 IFC-Hydrostation,Hudson,t,6016
3057,HS0022,42.914043,-92.238602,HS0022 IFC-Hydrostation,Fredericksburg,t,6022
3035,HS0009,41.55606,-93.285029,HS0009 IFC-Hydrostation,Prairie City,t,6009
3058,HS0025,43.317009,-92.790352,HS0025 IFC-Hydrostation,Mitchell,t,6025
3048,HS0018,42.090569,-90.684113,HS0018 IFC-Hydrostation,Maquoketa,t,6018
3018,RACCOON01,42.0463,-94.4752,RACCOON01 IFC-Hydrostation,Jefferson,t,5093
3037,HS0013,41.025539,-91.765724,HS0013 IFC-Hydrostation,Lockridge,t,6013
3045,HS0012,41.295868,-92.613335,HS0012 IFC-Hydrostation,Oskaloosa,t,6012
3039,HS0017,40.713036,-91.243614,HS0017 IFC-Hydrostation,Wever,t,6017
3012,UPPRWAPSI02,42.5224,-92.0764,UPPRWAPSI02 IFC-Hydrostation,Jesup,t,5090
3020,RACCOON03,42.649,-95.1096,RACCOON03 IFC-Hydrostation,Storm Lake,t,5091
3025,CROPRELAY01,42.949501,-91.829201,CROPRELAY01 IFC-Hydrostation ,West Union,t,5102
3013,NSHNBTNA01,40.878,-95.4991,NSHNBTNA01 IFC-Hydrostation,Randolph,t,5097
3017,NSHNBTNA05,41.6941,-94.9242,NSHNBTNA05 IFC-Hydrostation,Audubon,t,5087
3022,MROHYDRO01,41.640708,-91.541703,EXPERIMENTAL STATION,,t,5095
3015,NSHNBTNA03,41.39,-95.4609,NSHNBTNA03 IFC-Hydrostation ,Hancoc,f,5099
3021,RACCOON04,42.902663,-94.884417,RACCOON04 IFC-Hydrostation,Swan Lake,t,5096
3019,RACCOON02,42.2343,-94.8035,RACCOON02 IFC-Hydrostation,Auburn,t,5094
3011,UPPRIOWA02,43.350263,-91.531616,UPPRIOWA02 IFC-Hydrostation,Waukon,t,5089
3005,UPPRIOWA01,43.3279,-91.9569,UPPRIOWA01 IFC-Hydrostation ,Ridgeway,t,5082
3008,UPPRWAPSI01,42.8011,-92.2503,UPPRWAPSI01 IFC-Hydrostation ,Tripoli,t,5085
