id,foreign_id,lat,lng,description,river,town,active
11890,MPLECR01,41.575119,-96.790161,Maple Creek at North Bend (MPLECR01),Maple Creek,North Bend,t
722,ENDWY01,40.727396,-94.979789,East Nodoway River at Hwy 2 at Clarinda (ENDWY01),East Nodaway River,Clarinda,t
717,CLRCRK02,41.714222,-91.77911,Clear Creek at Chambers Ave NW at Oxford (CLRCRK02),Clear Creek,Oxford,t
1979,POUDRERV01,40.629707,-105.168633,Cache la Poudre River at Bellvue (POUDRERV01),Cache la Poudre River,Bellvue,t
1676,SOAPCR03,40.888095,-92.680712,Soap Creek at 313th Ave at Unionville (SOAPCR03),Soap Creek,Unionville,t
1669,SKKMCHCK01,46.7722,-122.9236,Skookumchuck River at Centralia (SKKMCHCK01),Skookunchuck River,Centralia,f
11893,TROUTCRK01,43.273853,-91.784668,Trout Creek at Decorah (TROUTCRK01),Trout Creek,Decorah,t
1917,WATERMAN01,42.967774,-95.425321,Waterman Creek at Sutherland (WATERMAN01),Waterman Creek,Sutherland,t
11892,SFELKHRN01,42.251301,-98.338531,South Fork Elkhorn River at Ewing (SFELKHRN01),South Fork Elkhorn River,Ewing,t
1827,DSMNSRV03,42.12155,-93.967917,Des Moines River at Kale RD (DSMNSRV03),Des Moines River,Fraser,t
11894,TROUTCRK02,43.252418,-91.807968,Trout Creek at Decorah (TROUTCRK02),Trout Creek,Decorah,t
11856,WILLOWCR01,42.862312,-96.055969,Willow Creek at Oyens (WILLOWCR01),Willow Creek,Oyens,t
11861,BUFFALO01,42.195779,-91.423147,Buffalo Creek at Prairieburg (BUFFALO01),Buffalo Creek,Prairieburg,t
1884,SPRNGCRK01,43.284179,-92.769861,Spring Creek at Osage (SPRNGCRK01),Spring Creek,Osage,t
11849,MUDCR03,42.079514,-92.113815,Mud Creek at Garrison (MUDCR03),Mud Creek,Garrison,t
1915,CEDARCRK01,41.009739,-92.118781,Cedar Creek at Batavia (CEDARCRK01),Cedar Creek,Batavia,t
1880,COONCR01,42.191457,-92.455621,Coon Creek at Traer(COONCR01),Coon Creek,Traer,t
1756,YELLOWRV01,43.139539,-91.587033,Yellow River at Postville (YELLOWRV01),Yellow River,Postville,t
1004,DEERCR01,41.6807,-91.6373,Deer Creek at Kansas Ave SW at Iowa City (DEERCR01),Deer Creek,Iowa City,t
1812,MQKTARV01,42.260186,-91.192876,Maquoketa River at HWY38 (MQKTARV01),Maquoketa River,Monticello,t
