id,foreign_id,lat,lng,description,river,town,active
1687,05459490,43.213333,-93.210556,Spring Creek near Mason City (05459490),Spring Creek,Mason City,t
12848,BBSS2,43.5946,-96.5998,Big Sioux River near Brandon (BBSS2),Big Sioux River,,t
681,DBQI4,42.499444,-90.653056,Mississippi River at Dubuque (DBQI4),Mississippi,Dubuque,t
1957,05453200,41.805,-91.8732,Price Creek at Amana (05453200),Price Creek,Amana,t
648,06483290,43.422972,-96.164887,Rock River below Tom Creek at Rock Rapids (RAPI4-06483290),Rock River below Tom Creek,Rock Rapids,t
523,05411600,43.207278,-91.950333,Turkey River at Spillville (05411600),Turkey River,Spillville,t
569,05485605,41.717377,-93.570133,Fourmile Creek near Ankeny (05485605),Fourmile Creek,Ankeny,t
603,05458500,42.648316,-92.465186,Cedar River at Janesville (JANI4-05458500),Cedar River,Janesville,t
1931,06479500,44.942464,-97.146186,Big Sioux River at Watertown (06479500),Big Sioux River SE,Watertown,t
536,05451900,41.899439,-92.474355,Richland Creek near Haven (05451900),Richland Creek,Haven,t
638,05484900,41.581656,-93.642996,Raccoon River at Fleur Drive at Des Moines (DEMI4-05484900),Raccoon River,Des Moines,t
590,05416900,42.469988,-91.448715,Maquoketa River at Manchester (MCHI4-05416900),Maquoketa River,Manchester,t
626,05478265,43.082278,-94.230861,East Fork Des Moines River near Algona (AGNI4-05478265),East Fork Des Moines River,Algona,t
1611,05469860,42.314444,-93.639722,Mud Lake Drainage Ditch 71 at Jewell (05469860),Mud Lake Drainage Ditch 71,Jewell,t
540,05453520,41.715293,-91.53017,Iowa River below Coralville Dam near Coralville (05453520),Iowa River,Coralville,t
669,06819185,40.660543,-94.716636,East Fork 102 River at Bedford (BDFI4-06819185),East Fork 102 River,Bedford,t
557,05473450,41.006973,-91.55155,Big Creek near Mount Pleasant (05473450),Big Creek,Mount Pleasant,t
1686,05455230,41.591389,-92.355,Deep River at Deep River (05455230),Deep River,Deep River,t
610,05464315,42.170828,-92.023792,Cedar River at Vinton (VINI4-05464315),Cedar River,Vinton,t
1930,06479452,44.948853,-97.160908,Big Sioux River at Lake Kampeska near Watertown (06479452),Big Sioux River S,Watertown,t
668,06817000,40.743278,-95.014194,Nodaway River at Clarinda (ICLI4-06817000),Nodaway River,Clarinda,t
1932,06479525,44.731548,-97.044652,Big Sioux River near Castlewood (06479525),Big Sioux River,Castlewood,t
639,05485500,41.577767,-93.605495,Des Moines River blw Raccoon R. at Des Moines (DESI4-05485500),Des Moines River blw Raccoon R.,Des Moines,t
700,MKLN1,42.715556,-96.949167,Missouri River near Maskell (MKLN1),Missouri,Maskell,t
562,05480820,42.724417,-93.946694,Boone River near Goldfield (05480820),Boone River,Goldfield,t
546,05455100,41.606405,-91.615724,Old Mans Creek near Iowa City (05455100),Old Mans Creek,Iowa City,t
646,05490500,40.727806,-91.959617,Des Moines River at Keosauqua (KEQI4-05490500),Des Moines River,Keosauqua,t
552,05464220,42.251658,-92.298798,Wolf Creek near Dysart (05464220),Wolf Creek,Dysart,t
628,05480500,42.508303,-94.203573,Des Moines River at Fort Dodge (FODI4-05480500),Des Moines River,Fort Dodge,t
1688,05464780,41.787222,-91.31375,Cedar River at Cedar Bluff (05464780),Cedar River,Cedar Bluff,t
679,05465100,41.278336,-91.345728,Iowa River at Columbus Junction (05465100-CJTI4),Iowa River,Columbus Junction,t
695,LACW3,43.801667,-91.258889,Mississippi River at La Crosse (LACW3),Mississippi,La Crosse,t
2322,05464475,41.989416,-91.759598,Morgan Creek near Covington (05464475),Morgan Creek,Covington,t
545,05455010,41.651406,-91.507668,South Branch Ralston Creek at Iowa City (05455010),South Branch Ralston Creek,Iowa City,t
611,05464420,42.069163,-91.78518,Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420),Cedar River,Palo,t
565,05483450,41.778597,-94.492749,Middle Raccoon River near Bayard (05483450),Middle Raccoon River,Bayard,t
1635,PELI4,41.3692,-92.980622,Des Moines River at Red Rock Reservoir (PELI4),Des Moines River,Red Rock Reservoir,t
707,RCKI2,41.51778,-90.56194,Mississippi River at Rock Island (RCKI2),Mississippi,Rock Island,t
