MACRO_START,CAPPED_EPISODE_END,TOTAL_EPISODE_DURATION,NEW_EPISODE_ID,BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,21,1330,202405,29,1015,192209,1185180,IOWA,19,2024,May,Flood,C,171,TAMA,DMX,2024-05-21 13:30:00,CST-6,2024-05-29 10:15:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,3.3,NW,MONTOUR,5.77,SSE,IRVING,42.0,-92.77,41.86,-92.3,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Iowa River at Tama Highway E49 crested at 13.69 ft on May 24 at 5:30 am CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,21,2200,202405,23,30,192209,1185182,IOWA,19,2024,May,Flood,C,109,KOSSUTH,DMX,2024-05-21 22:00:00,CST-6,2024-05-23 00:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,4.49,SW,LU VERNE,2.94,E,BURT,42.88,-94.15,43.2,-94.14,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The East Fork Des Moines River at Algona crested at 17.64 ft on May 22 at 9:15 am CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,22,230,202405,23,1715,192209,1185183,IOWA,19,2024,May,Flood,C,153,POLK,DMX,2024-05-22 02:30:00,CST-6,2024-05-23 17:15:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,2.14,SSE,DES MOINES,2.14,S,DES MOINES,41.57,-93.61,41.59,-93.62,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Raccoon River at Fleur Drive crested at 14.05 ft on May 22 at 2:00 pm CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,22,415,202405,24,915,192209,1185170,IOWA,19,2024,May,Flood,C,13,BLACK HAWK,DMX,2024-05-22 04:15:00,CST-6,2024-05-24 09:15:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,0.69,N,EVANSDALE,1.47,NE,CASTLE HILL,42.48,-92.28,42.53,-92.38,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",Black Hawk Creek at Hudson crested at 15.54 ft on May 22 at 6:15 pm CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,22,430,202405,24,2330,192209,1185610,IOWA,19,2024,May,Flood,C,153,POLK,DMX,2024-05-22 04:30:00,CST-6,2024-05-24 23:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,1.7,WNW,YOUNGSTOWN,2.07,WSW,DES MOINES,41.59,-93.56,41.59,-93.66,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Des Moines River at Southeast 6th St crested at 25.22 ft on May 22 at 5:45 pm CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,22,845,202405,23,130,192209,1185167,IOWA,19,2024,May,Flood,C,23,BUTLER,DMX,2024-05-22 08:45:00,CST-6,2024-05-23 01:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,6.65,E,NEW HARTFORD,2.15,E,NEW HARTFORD,42.56,-92.49,42.58,-92.49,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",Beaver Creek at New Hartford crested at 12.86 ft on May 22 at 8:45 pm CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,22,1230,202405,24,30,192209,1185176,IOWA,19,2024,May,Flood,C,127,MARSHALL,DMX,2024-05-22 12:30:00,CST-6,2024-05-24 00:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,2.66,WSW,MARSHALLTOWN,0.0,E,LE GRAND,42.04,-92.97,42.0,-92.77,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Iowa River at Marshalltown crested at 20.0 ft on May 23 at 5:45 am CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,22,1530,202405,25,415,192209,1185178,IOWA,19,2024,May,Flood,C,13,BLACK HAWK,DMX,2024-05-22 15:30:00,CST-6,2024-05-25 04:15:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,1.23,NE,(ALO)WATERLOO MUNI A,0.69,W,BOIES,42.56,-92.38,42.62,-92.41,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Cedar River at Cedar Falls crested at 91.16 feet on May 23 at 10:45 am CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,23,300,202405,24,1530,192209,1185181,IOWA,19,2024,May,Flood,C,187,WEBSTER,DMX,2024-05-23 03:00:00,CST-6,2024-05-24 15:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,2.04,W,ROBERTS,5.02,NNE,DAYTON,42.42,-94.21,42.3,-94.05,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Des Moines River at Fort Dodge crested at 11.02 ft on May 23 at 5:45 pm CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,23,815,202405,24,330,192209,1185171,IOWA,19,2024,May,Flood,C,13,BLACK HAWK,DMX,2024-05-23 08:15:00,CST-6,2024-05-24 03:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,1.23,NE,(ALO)WATERLOO MUNI A,1.53,S,CEDAR FALLS,42.56,-92.38,42.51,-92.45,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Cedar River at Waterloo crested at 13.34 ft on May 23 at 3:00 pm CDT.,CSV
2024-05-21 13:30:00,2024-05-24 13:30:00,3 days 00:00:00,192209_0,202405,24,600,202405,24,1230,192209,1185184,IOWA,19,2024,May,Flood,C,153,POLK,DMX,2024-05-24 06:00:00,CST-6,2024-05-24 12:30:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,2.14,SSE,DES MOINES,2.14,S,DES MOINES,41.57,-93.61,41.59,-93.62,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The Raccoon River at Fleur Drive crested at 12.14 ft on May 24 at 10:00 am CDT.,CSV
2024-05-24 19:45:00,2024-05-25 23:45:00,1 days 04:00:00,192209_1,202405,24,1945,202405,25,2345,192209,1185186,IOWA,19,2024,May,Flood,C,63,EMMET,DMX,2024-05-24 19:45:00,CST-6,2024-05-25 23:45:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,4.41,SSW,WELLINGFORD,5.51,SE,WELLINGFORD,43.26,-94.83,43.26,-94.71,"There were several rounds of rainfall over the period starting around May 20 through around May 25. This is when there were two rounds of heavy rainfall along with severe thunderstorms including tornadoes and straight-line winds, detailed in respective severe entries for the month. 60-hour rainfall totals ending May 21 at 7pm were up to 4 to 6 inches over portions of Marshall, Tama, Poweshiek, and Jasper Counties. This led to flash flooding over these areas and all the rainfall that caused the flash flooding eventually made its way into area streams and caused river flooding on several basins across central Iowa including the Iowa River, Des Moines River, and Cedar River. Flooding during this time was extended by additional rainfall due to severe storms on May 24th.",The West Fork Des Moines River at Estherville crested at 10.96 ft on May 25 at 5:45 am CDT.,CSV
