BEGIN_YEARMONTH,BEGIN_DAY,END_YEARMONTH,END_DAY,EVENT_ID,STATE,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
199602,9,199602,12,5540507,IOWA,Flood,POLK,0,0,0,0,,,,,,
199602,9,199602,12,5540510,IOWA,Flood,MARION,0,0,0,0,,,,,,
199602,9,199602,12,5540511,IOWA,Flood,MAHASKA,0,0,0,0,50K,,,,,
199602,9,199602,12,5540506,IOWA,Flood,DALLAS,0,0,0,0,,,,,,
199602,9,199602,12,5540508,IOWA,Flood,JASPER,0,0,0,0,,,,,,
199602,9,199602,12,5540503,IOWA,Flood,STORY,0,0,0,0,,,,,,
199602,9,199602,12,5540504,IOWA,Flood,MARSHALL,0,0,0,0,,,,,,
199606,20,199606,28,5553859,IOWA,Flood,GUTHRIE,0,0,0,0,,,,,,
199606,20,199606,28,5553860,IOWA,Flood,DALLAS,0,0,0,0,.5M,.5M,,,,
199606,17,199606,25,5553841,IOWA,Flood,GREENE,0,0,0,0,,,,,,
199606,17,199606,25,5553843,IOWA,Flood,STORY,0,0,0,0,,,,,,
199606,20,199606,28,5553855,IOWA,Flood,CRAWFORD,0,0,0,0,,,,,,
199606,17,199606,25,5553842,IOWA,Flood,BOONE,0,0,0,0,,,,,,
199606,20,199606,28,5553856,IOWA,Flood,CARROLL,0,0,0,0,,,,,,
199606,17,199606,25,5553851,IOWA,Flood,MARION,0,0,0,0,,,,,,
199606,17,199606,25,5553852,IOWA,Flood,MAHASKA,0,0,0,0,.5M,1M,,,,
199606,21,199606,21,5553666,IOWA,Flash Flood,CRAWFORD,0,0,0,0,11M,.15M,,,,
199606,21,199606,21,5553667,IOWA,Flood,SAC,0,0,0,0,30K,5K,,,,
199602,9,199602,12,5540502,IOWA,Flood,BOONE,0,0,0,0,,,,,,
199606,17,199606,25,5553836,IOWA,Flood,HAMILTON,0,0,0,0,,,,,,
199606,17,199606,25,5553837,IOWA,Flood,HARDIN,0,0,0,0,,,,,,
199602,9,199602,12,5540501,IOWA,Flood,GREENE,0,0,0,0,,,,,,
199606,16,199606,16,5553459,IOWA,Flash Flood,SAC,0,0,0,0,.2M,25K,,,,
199606,16,199606,16,5553460,IOWA,Flash Flood,CALHOUN,0,0,0,0,.15M,20K,,,,
199606,16,199606,16,5553461,IOWA,Flood,POCAHONTAS,0,0,0,0,10K,,,,,
199606,16,199606,16,5553462,IOWA,Flood,CALHOUN,0,0,0,0,10K,,,,,
199606,16,199606,16,5553463,IOWA,Flood,SAC,0,0,0,0,10K,,,,,
199606,17,199606,25,5553693,IOWA,Flood,WEBSTER,0,0,0,0,,,,,,
199605,8,199605,9,5544248,IOWA,Flood,CASS,0,0,0,0,50K,,,,,
199607,16,199607,18,5557035,IOWA,Flood,MONONA,0,0,0,0,1.5M,27M,,,,
