,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CZ_NAME,FLOOD_COUNT
0,0,0,0,0,POLK,294
1,1,1,1,1,BLACK HAWK,200
2,2,2,2,2,CLAY,188
3,3,3,3,3,CLAYTON,183
4,4,4,4,4,DALLAS,174
5,5,5,5,5,WEBSTER,157
6,6,6,6,6,SIOUX,157
7,7,7,7,7,MAHASKA,146
8,8,8,8,8,STORY,142
9,9,9,9,9,WARREN,138
10,10,10,10,10,MARION,137
11,11,11,11,11,PLYMOUTH,137
12,12,12,12,12,SCOTT,134
13,13,13,13,13,BUTLER,128
14,14,14,14,14,WAPELLO,119
15,15,15,15,15,DICKINSON,112
16,16,16,16,16,LUCAS,107
17,17,17,17,17,LYON,101
18,18,18,18,18,DES MOINES,98
19,19,19,19,19,MARSHALL,90
20,20,20,20,20,KOSSUTH,90
21,21,21,21,21,WAYNE,88
22,22,22,22,22,CLINTON,88
23,23,23,23,23,HUMBOLDT,86
24,24,24,24,24,FREMONT,85
25,25,25,25,25,BUCHANAN,84
26,26,26,26,26,EMMET,84
27,27,27,27,27,LEE,83
28,28,28,28,28,WOODBURY,83
29,29,29,29,29,DUBUQUE,83
30,30,30,30,30,CERRO GORDO,82
31,31,31,31,31,LOUISA,80
32,32,32,32,32,GUTHRIE,80
33,33,33,33,33,LINN,78
34,34,34,34,34,MUSCATINE,77
35,35,35,35,35,JOHNSON,74
36,36,36,36,36,HAMILTON,72
37,37,37,37,37,APPANOOSE,71
38,38,38,38,38,FAYETTE,71
39,39,39,39,39,O'BRIEN,71
40,40,40,40,40,MONROE,70
41,41,41,41,41,BUENA VISTA,70
42,42,42,42,42,ALLAMAKEE,69
43,43,43,43,43,IOWA,68
44,44,44,44,44,CHEROKEE,66
45,45,45,45,45,JASPER,65
46,46,46,46,46,TAMA,65
47,47,47,47,47,BOONE,64
48,48,48,48,48,WRIGHT,64
49,49,49,49,49,GREENE,63
50,50,50,50,50,FRANKLIN,63
51,51,51,51,51,PALO ALTO,63
52,52,52,52,52,CLARKE,62
53,53,53,53,53,DECATUR,62
54,54,54,54,54,WINNESHIEK,62
55,55,55,55,55,FLOYD,62
56,56,56,56,56,CALHOUN,61
57,57,57,57,57,CARROLL,61
58,58,58,58,58,WASHINGTON,59
59,59,59,59,59,HARDIN,59
60,60,60,60,60,BREMER,58
61,61,61,61,61,GRUNDY,56
62,62,62,62,62,MADISON,54
63,63,63,63,63,SAC,52
64,64,64,64,64,JONES,52
65,65,65,65,65,CASS,51
66,66,66,66,66,POTTAWATTAMIE,48
67,67,67,67,67,WORTH,48
68,68,68,68,68,JACKSON,45
69,69,69,69,69,POCAHONTAS,43
70,70,70,70,70,MITCHELL,43
71,71,71,71,71,DELAWARE,42
72,72,72,72,72,HANCOCK,42
73,73,73,73,73,BENTON,41
74,74,74,74,74,VAN BUREN,40
75,75,75,75,75,ADAMS,40
76,76,76,76,76,CHICKASAW,40
77,77,77,77,77,UNION,39
78,78,78,78,78,KEOKUK,39
79,79,79,79,79,ADAIR,39
80,80,80,80,80,WINNEBAGO,37
81,81,81,81,81,POWESHIEK,36
82,82,82,82,82,TAYLOR,35
83,83,83,83,83,AUDUBON,34
84,84,84,84,84,CRAWFORD,34
85,85,85,85,85,HOWARD,34
86,86,86,86,86,DAVIS,33
87,87,87,87,87,CEDAR,32
88,88,88,88,88,RINGGOLD,31
89,89,89,89,89,HARRISON,31
90,90,90,90,90,MILLS,31
91,91,91,91,91,MONTGOMERY,29
92,92,92,92,92,HENRY,27
93,93,93,93,93,IDA,24
94,94,94,94,94,JEFFERSON,23
95,95,95,95,95,MONONA,23
96,96,96,96,96,PAGE,23
97,97,97,97,97,OSCEOLA,12
98,98,98,98,98,SHELBY,5
